bank_name,reference_date,scrape_status,cbr_treatment,source_url,source_type,evidence_page,evidence_keyword,evidence_quote,match_count,pdf_path,text_path,note
BANCA MEDIOLANUM S.P.A.,2025-06-30,ok,on_top,https://www.bancamediolanum.it/static-assets/documenti/file/it/2025/12/23/Pillar_III_30giugno2025.pdf,direct_pdf,35,combined buffer requirement,"to minimo di fondi propri e passività ammissibili (MREL). A partire dal 1° gennaio 2025, Banca Mediolanum deve rispettare su base consolidata un requisito MREL TREA (esposizione al rischio) pari al 18,22% maggiorato del Combined Buffer Requirement applicabile pari al 3,16%, portando il requisito complessivo al 21,38%; e un requisito MREL LRE (esposizione complessiva per la leva finanziaria) pari al 5,20%. Al fine del rispetto del requisito e del computo delle alt",2,cbr/raw/banca-mediolanum-s-p-a.pdf,cbr/text/banca-mediolanum-s-p-a.txt,
BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI,2025-06-30,ok,on_top,https://istituzionale.popso.it/sites/default/files/documents/Banca%20Popolare%20di%20Sondrio%20Pillar%20III%2030%2006%202025.pdf,discovered_from_landing_page,40,requisito combinato di riserva(?: del capitale)?,"ione assunta in materia di Requisito MREL, in base alla quale è stato disposto che con decorrenza contestuale la Banca debba rispettare su base consolidata tanto un requisito MREL-TREA (non inclusivo della componente di requisito combinato di riserva di capitale) pari a un livello minimo del 22,76% delle proprie attività ponderate per il rischio, quanto un requisito MREL-LRE almeno pari al 5,90% dell’esposizione di leva finanziaria. TERZO PILASTRO Data di riferiment",3,cbr/raw/banca-popolare-di-sondrio-societa-per-azioni.pdf,cbr/text/banca-popolare-di-sondrio-societa-per-azioni.txt,
BANCO BPM SOCIETA' PER AZIONI,2025-06-30,ok,on_top,https://gruppo.bancobpm.it/media/dlm_uploads/P3-Giugno-2025_Documento.pdf,direct_pdf,21,requisito combinato di riserva(?: del capitale)?,"ne ha concesso la preventiva autorizzazione al Gruppo Banco BPM (cd. “General Prior Permission”). (b) In coerenza alle istruzioni per la compilazione del modello EU KM2, i requisiti MREL-TREA sono riportati al netto del requisito combinato di riserva di capitale, che il Gruppo è tenuto a rispettare in aggiunta ai requisiti MREL-TREA ai sensi dell’articolo 10 bis del Regolamento (UE) 806/2014. 21",3,cbr/raw/banco-bpm-societa-per-azioni.pdf,cbr/text/banco-bpm-societa-per-azioni.txt,
CASSA CENTRALE BANCA - CREDITO COOPERATIVO ITALIANOSOCIETA' PER AZIONI (IN SIGLA CASSA CENTRALE BANCA),2025-06-30,ok,on_top,https://www.cassacentrale.it/sites/default/files/documents_attachments/GBC%20-%20Informativa%20al%20Pubblico%20al%2030.06.2025_signed_signed.pdf,discovered_from_landing_page,19,\bcbr\b,"lla Capogruppo. Il requisito minimo di fondi propri e passività ammissibili su base consolidata (cui si deve conformare la Capogruppo) è del 22,40% del TREA (a cui sommare il requisito combinato di riserva del capitale (CBR)) e del 5,91% del LRE. La Capogruppo è tenuta a soddisfare i requisiti di cui sopra a partire dalla ricezione della MREL decision. Alla data di riferimento del 30 giugno 2025, Cassa Centrale Banca e le entità rilevanti",2,cbr/raw/cassa-centrale-banca-credito-cooperativo-italianosocieta-per-azioni-in-sigla-cassa-centrale-banca.pdf,cbr/text/cassa-centrale-banca-credito-cooperativo-italianosocieta-per-azioni-in-sigla-cassa-centrale-banca.txt,
CREDITO EMILIANO HOLDING SOCIETA' PER AZIONI,2025-06-30,ok,on_top,https://cdn.financialreports.eu/financialreports/media/filings/4312/2025/RNS/4312_rns_2025-09-16_b2dc6af3-f551-41e0-abc0-9f6b783b415c.pdf,direct_pdf,23,combined buffer requirement,"o minimo di fondi propri e passività ammissibili (MREL). A partire dal 15 novembre 2024, il gruppo Credem deve rispettare su base consolidata un requisito MREL-TREA (esposizione al rischio) pari al 19,55% maggiorato del Combined Buffer Requirement applicabile e un requisito MREL-LRE (esposizione complessiva per la leva finanziaria) pari al 5,91%. Al fine del rispetto del requisito e del computo delle altre passività ammissibili emesse da Credem, non è richiesto a",2,cbr/raw/credito-emiliano-holding-societa-per-azioni.pdf,cbr/text/credito-emiliano-holding-societa-per-azioni.txt,Using a FinancialReports mirror because the official Credem investor page does not expose a stable PDF link in static HTML.
Intesa Sanpaolo S.p.A.,2025-06-30,ok,on_top,https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/investor-relations/Contenuti/RISORSE/Documenti%20PDF/governance/Pillar3_30062025.pdf,direct_pdf,37,combined buffer requirement,"for Intesa Sanpaolo S.p.A.” del 2025 che prevede quanto segue: 1. MREL totale da rispettare pari al massimo tra: − 21,00% dell'importo complessivo dell’esposizione al rischio (TREA) a cui sommare ai soli fini M-MDA15 il Combined Buffer Requirement del Gruppo alla data di riferimento (4,48%16); pertanto, il requisito applicabile al 30 giugno 2025 è pari al 25,48%; − 5,94% della misura dell’esposizione complessiva (TEM). 2. MREL di subordinazione da rispettare pari",7,cbr/raw/intesa-sanpaolo-s-p-a.pdf,cbr/text/intesa-sanpaolo-s-p-a.txt,Included manually for CBR research because the entity is not present in the workbook export used for the dashboard.
ICCREA BANCA S.P.A. - ISTITUTO CENTRALE DEL CREDITO COOPERATIVO (IN FORMA ABBREVIATA: ICCREA BANCA S.P.A.),2025-06-30,ok,included,https://www.gruppobcciccrea.it/Altri_Documeni_Pillar/Informativa%20al%20pubblico%20-%20Pillar%203%2030.06.2025_05112025.pdf,discovered_from_landing_page,40,riserva combinata(?: di capitale)?,"etto a risoluzione. Il livello obbligatorio finale del requisito MREL su base consolidata (cui si conforma la Capogruppo), da rispettare entro il 1° gennaio 2026, è pari al 26,03% degli RWA (comprensivo del requisito di riserva combinata di capitale pari al 30 giugno 2025 al 3,59% degli RWA) e al 6,33% di LRE. È previsto un livello obbligatorio intermedio, da rispettare 41",1,cbr/raw/iccrea-banca-s-p-a-istituto-centrale-del-credito-cooperativo-in-forma-abbreviata-iccrea-banca-s-p-a.pdf,cbr/text/iccrea-banca-s-p-a-istituto-centrale-del-credito-cooperativo-in-forma-abbreviata-iccrea-banca-s-p-a.txt,
Mediobanca - Banca di Credito Finanziario S.p.A.,2025-06-30,ok,included,https://www.mediobanca.com/static/upload_new/doc/documento-pillar-ita-30-06-2025.pdf,direct_pdf,63,\bcbr\b,"B) i requisiti minimi da rispettare ai fini MREL (MREL Decision). Dall’ultima MREL Decision ricevuta a fine 2024, il Gruppo è chiamato a rispettare i seguenti requisiti fino al 15 luglio 2025: - MREL-TREA: 23,92% (incl. CBR) con un subordination requirement del 16,67% - MREL-LRE: 5,91%12 L’ammontare di fondi propri e passività ammissibili (MREL) al 30 giugno 2025 si conferma al 42,6% degli RWA, significativamente superiore al requisito min",1,cbr/raw/mediobanca-banca-di-credito-finanziario-s-p-a.pdf,cbr/text/mediobanca-banca-di-credito-finanziario-s-p-a.txt,
MEDIOBANCA PREMIER S.P.A.,2025-06-30,ok,included,https://www.mediobanca.com/static/upload_new/doc/documento-pillar-ita-30-06-2025.pdf,direct_pdf,63,\bcbr\b,"B) i requisiti minimi da rispettare ai fini MREL (MREL Decision). Dall’ultima MREL Decision ricevuta a fine 2024, il Gruppo è chiamato a rispettare i seguenti requisiti fino al 15 luglio 2025: - MREL-TREA: 23,92% (incl. CBR) con un subordination requirement del 16,67% - MREL-LRE: 5,91%12 L’ammontare di fondi propri e passività ammissibili (MREL) al 30 giugno 2025 si conferma al 42,6% degli RWA, significativamente superiore al requisito min",1,cbr/raw/mediobanca-premier-s-p-a.pdf,cbr/text/mediobanca-premier-s-p-a.txt,Using the Mediobanca Group Pillar 3 document as fallback because no standalone Mediobanca Premier Pillar 3 source was pre-mapped.
Banca Monte dei Paschi di Siena S.p.A.,2025-06-30,ok,not_found,https://www.gruppomps.it/static/upload/inf/informativa-al-pubblico---giugno-2025.pdf,direct_pdf,,,,0,cbr/raw/banca-monte-dei-paschi-di-siena-s-p-a.pdf,cbr/text/banca-monte-dei-paschi-di-siena-s-p-a.txt,
BPER Banca S.p.A.,2025-06-30,ok,not_found,https://group.bper.it/documents/133577364/2796734466/Informativa+al+Pubblico+al+30+giugno+2025.pdf/4ca09233-b4bb-f4d2-8960-945f2b45fe7d?version=1.0&t=1759250224385,discovered_from_landing_page,,,,0,cbr/raw/bper-banca-s-p-a.pdf,cbr/text/bper-banca-s-p-a.txt,Included manually for CBR research because the entity is not present in the workbook export used for the dashboard.
UniCredit S.p.A.,2025-06-30,ok,not_found,https://www.unicreditgroup.eu/content/dam/unicreditgroup-eu/documents/en/investors/third-pillar-basel/2025/UniCredit-Group-Disclosure-Pillar-III-as-at-30-June-2025.pdf,direct_pdf,,,,0,cbr/raw/unicredit-s-p-a.pdf,cbr/text/unicredit-s-p-a.txt,Included manually for CBR research because the entity is not present in the workbook export used for the dashboard.
